ANO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACION DANE,No. INSTITUCIONES
2019,3,ANTIOQUIA,EL SANTUARIO,2664,36043,36
2018,3,SANTANDER,LANDAZURI,153,10384,11
2019,4,CAQUETA,CURILLO,22,7683,8
2020,1,SANTANDER,MACARAVITA,12,2104,3
2019,3,NARI�O,CUMBAL,218,36975,38
2019,2,BOYACA,PAJARITO,69,2400,3
2019,2,GUAVIARE,SAN JOSE DEL GUAVIARE,2229,54333,54
2018,3,MAGDALENA,PLATO,1563,61766,62
2018,3,BOYACA,COMBITA,134,12970,13
2019,3,HUILA,AIPE,407,16361,17
2018,3,SANTANDER,EL PE�ON,33,5279,6
2019,3,SANTANDER,GAMBITA,49,4008,5
2018,3,QUINDIO,CIRCASIA,3568,28162,28
2018,4,BOYACA,GUACAMAYAS,32,1865,3
2018,4,CESAR,EL PASO,346,37531,38
2020,1,CAUCA,BALBOA,17,21437,22
2018,3,BOYACA,FLORESTA,88,3266,3
2019,2,SUCRE,CHALAN,7,4537,5
2019,3,CALDAS,FILADELFIA,193,11399,12
2018,3,NARI�O,SAN PEDRO DE CARTAGO,51,6843,7
2018,4,BOYACA,SAN LUIS DE GACENO,120,5499,6
2019,1,BOYACA,BOYACA,68,5103,6
2019,2,BOYACA,TIBANA,197,9085,10
2020,1,CUNDINAMARCA,ANAPOIMA,631,16064,16
2019,3,ARAUCA,TAME,1999,46741,47
2019,2,CUNDINAMARCA,SOPO,3786,27456,28
2018,4,ANTIOQUIA,LA ESTRELLA,16914,71545,72
2020,1,BOYACA,EL ESPINO,23,3054,3
2018,4,BOYACA,COPER,79,3619,4
2019,2,NORTE DE SANTANDER,SILOS,53,6380,6
2019,1,ATLANTICO,PIOJO,8,6873,7
2018,3,BOYACA,MIRAFLORES,626,8847,10
2019,3,ARAUCA,FORTUL,434,19659,20
2019,2,ANTIOQUIA,DABEIBA,1158,23255,24
2019,1,ANTIOQUIA,TARSO,442,6194,6
2020,1,CAUCA,PAEZ,65,46742,48
2019,2,ANTIOQUIA,GUARNE,7258,56774,57
2018,3,CORDOBA,COTORRA,243,19041,19
2019,1,CESAR,BOSCONIA,2810,41825,42
2019,1,CUNDINAMARCA,LENGUAZAQUE,102,10424,11
2018,4,ANTIOQUIA,CONCORDIA,885,21377,22
2019,3,VALLE DEL CAUCA,DAGUA,4641,48758,49
2018,4,SANTANDER,SAN ANDRES,171,8683,9
2019,3,BOYACA,TINJACA,47,3313,4
2019,4,SANTANDER,SAN VICENTE DE CHUCURI,723,33414,34
2018,4,NARI�O,SAMANIEGO,410,29414,30
2019,3,MAGDALENA,SITIONUEVO,16,28254,29
2019,4,CUNDINAMARCA,GACHALA,67,4386,5
2019,4,CESAR,GONZALEZ,7,4469,5
2018,3,CORDOBA,PUEBLO NUEVO,824,35655,36
2018,4,TOLIMA,PRADO,254,8498,9
2020,1,CESAR,SAN MARTIN,463,28769,30
2019,2,VALLE DEL CAUCA,EL CAIRO,218,6637,7
2019,4,CUNDINAMARCA,LA PE�A,30,5976,7
2020,1,ANTIOQUIA,GUATAPE,1303,8709,9
2020,1,LA GUAJIRA,MANAURE,814,93431,94
2020,1,CASANARE,TAMARA,23,6567,7
2019,2,CUNDINAMARCA,LENGUAZAQUE,213,10424,10
2019,1,VALLE DEL CAUCA,BOLIVAR,338,15828,16
2019,4,NARI�O,CUMBAL,78,36975,38
2019,1,HUILA,ALGECIRAS,20,22498,23
2019,3,TOLIMA,PALOCABILDO,125,9773,11
2019,4,TOLIMA,VENADILLO,253,12751,13
2019,1,CUNDINAMARCA,SILVANIA,807,22550,23
2019,1,ANTIOQUIA,GIRALDO,203,5652,6
2019,4,CUNDINAMARCA,ZIPACON,32,4836,5
2019,1,BOLIVAR,EL PE�ON,77,7884,9
2019,2,CHOCO,JURADO,106,6774,7
2019,4,SANTANDER,CONFINES,17,3233,3
2019,4,VALLE DEL CAUCA,ARGELIA,239,5258,5
2019,3,HUILA,VILLAVIEJA,117,7247,8
2019,1,TOLIMA,RONCESVALLES,112,5467,6
2019,4,SANTANDER,OIBA,62,11004,12
2018,4,BOYACA,SOTAQUIRA,179,8162,9
2019,2,NORTE DE SANTANDER,EL TARRA,884,21145,21
2019,2,ANTIOQUIA,PUERTO TRIUNFO,1971,18550,19
2019,1,BOYACA,FIRAVITOBA,195,6737,7
2018,4,CASANARE,PORE,618,11967,13
2018,4,CUNDINAMARCA,PANDI,158,4973,5
2018,3,TOLIMA,CUNDAY,248,8745,10
2018,4,CUNDINAMARCA,GAMA,76,3120,4
2019,1,CUNDINAMARCA,ZIPAQUIRA,23173,138654,139
2018,4,BOYACA,PAYA,38,2593,3
2018,4,VAUPES,YAVARATE,0,1048,1
2018,4,ANTIOQUIA,ZARAGOZA,1247,24651,25
2018,3,ANTIOQUIA,HELICONIA,229,5451,6
2020,1,CESAR,EL COPEY,30,31650,32
2018,4,SANTANDER,MALAGA,1446,20945,22
2019,4,HUILA,PALERMO,976,26590,27
2018,3,MAGDALENA,SABANAS DE SAN ANGEL,117,15644,16
2019,3,HUILA,ISNOS,238,25463,26
2018,4,RISARALDA,MARSELLA,473,16940,17
2020,1,SANTANDER,SABANA DE TORRES,1146,34556,35
2019,4,NORTE DE SANTANDER,RAGONVALIA,29,6149,7
2019,2,SANTANDER,CONCEPCION,112,5738,6
2018,4,BOLIVAR,NOROSI,6,9212,10
2019,4,HUILA,ISNOS,271,25463,26
2019,2,ANTIOQUIA,TARAZA,1414,27517,28
2018,3,BOLIVAR,TIQUISIO,232,18035,19
2018,4,BOLIVAR,HATILLO DE LOBA,100,12317,13
2019,1,CUNDINAMARCA,TABIO,1772,22983,24
2018,3,CASANARE,MONTERREY,990,17537,18
2018,4,CALDAS,NORCASIA,290,6022,7
2020,1,NARI�O,CHACHAGsI,72,15303,16
2019,3,BOLIVAR,REGIDOR,105,6983,7
2019,3,META,CUBARRAL,154,7019,7
2019,3,BOYACA,SAN MATEO,97,3204,4
2019,3,SANTANDER,PARAMO,39,4773,5
2019,3,ANTIOQUIA,LA UNION,2253,21963,22
2018,3,CORDOBA,LOS CORDOBAS,112,18717,19
2019,1,CUNDINAMARCA,EL ROSAL,939,23417,24
2020,1,BOYACA,LA CAPILLA,18,2691,3
2018,3,HUILA,YAGUARA,123,7730,9
2019,4,VALLE DEL CAUCA,CARTAGO,23022,136596,137
2019,3,NORTE DE SANTANDER,ABREGO,275,33003,34
2019,3,ANTIOQUIA,TOLEDO,212,5005,5
2018,4,NARI�O,BUESACO,183,23908,24
2019,4,CAQUETA,MILAN,31,9838,10
2019,4,CUNDINAMARCA,PACHO,367,25046,26
2019,1,CUNDINAMARCA,EL COLEGIO,2135,25047,26
2018,4,MAGDALENA,REMOLINO,8,11445,12
2019,1,NARI�O,CUMBITARA,7,5843,7
2019,1,MAGDALENA,NUEVA GRANADA,18,20485,21
2019,3,CUNDINAMARCA,ALBAN,196,6650,7
2019,1,BOYACA,EL ESPINO,96,3054,3
2019,3,TOLIMA,MURILLO,89,4129,5
2019,3,NARI�O,OSPINA,142,7039,7
2019,3,GUAINIA,SAN FELIPE,3,1706,2
2019,3,LA GUAJIRA,MAICAO,10066,178832,179
2020,1,SANTANDER,CALIFORNIA,22,2232,2
2019,3,PUTUMAYO,SIBUNDOY,1156,15217,16
2019,3,BOYACA,MONIQUIRA,364,22821,23
2019,2,NARI�O,SANDONA,423,20184,21
2019,1,CUNDINAMARCA,GACHANCIPA,1037,18264,19
2019,2,VAUPES,YAVARATE,0,1067,2
2018,3,CASANARE,SAN LUIS DE PALENQUE,102,8466,9
2019,4,SUCRE,COROZAL,6012,69268,70
2019,2,BOYACA,JERICO,41,3900,4
2018,4,SANTANDER,PARAMO,51,4654,5
2018,3,ATLANTICO,REPELON,523,26200,27
2019,4,ANTIOQUIA,CONCEPCION,266,4760,5
2020,1,CESAR,SAN ALBERTO,1013,28453,29
2019,1,NARI�O,SAN ANDRES DE TUMACO,6100,255783,256
2020,1,ANTIOQUIA,MARINILLA,7984,67893,69
2019,2,RISARALDA,DOSQUEBRADAS,48143,220771,221
2018,3,BOYACA,CHISCAS,93,3994,4
2019,2,BOYACA,VIRACACHA,27,2817,3
2019,3,SAN ANDRES Y PROVIDENCIA,PROVIDENCIA,34,6124,6
2018,3,CUNDINAMARCA,GUAYABAL DE SIQUIMA,78,4444,5
2020,1,ANTIOQUIA,CALDAS,18391,83423,84
2018,4,SANTANDER,BARRANCABERMEJA,34525,203537,204
2020,1,CAUCA,ALMAGUER,12,18177,18
2019,4,CUNDINAMARCA,TENA,71,10065,10
2019,3,ANTIOQUIA,BRICE�O,386,8065,8
2019,2,ANTIOQUIA,SAN FRANCISCO,240,5776,6
2018,4,RISARALDA,GUATICA,289,12158,12
2019,2,CUNDINAMARCA,GIRARDOT,19619,105379,106
2018,4,SANTANDER,CALIFORNIA,38,2130,3
2019,4,TOLIMA,SAN LUIS,57,13481,14
2019,4,LA GUAJIRA,URUMITA,491,11114,12
2018,4,CUNDINAMARCA,FUSAGASUGA,26371,138498,139
2018,4,CAUCA,FLORENCIA,197,5202,6
2018,3,CORDOBA,SAN PELAYO,992,51838,52
2019,3,BOYACA,PUERTO BOYACA,6867,47600,48
2019,1,BOYACA,MONGUI,169,4266,5
2019,2,TOLIMA,LIBANO,2237,36432,37
2019,4,MAGDALENA,PUEBLOVIEJO,9,31151,32
2019,2,META,PUERTO LOPEZ,2381,30301,30
2019,1,CUNDINAMARCA,APULO,341,8457,9
2018,3,CAUCA,PIAMONTE,56,8811,9
2019,2,NORTE DE SANTANDER,HACARI,43,10342,11
2019,2,BOYACA,PAIPA,3306,34177,34
2019,4,SANTANDER,COROMORO,15,5009,5
2019,2,BOYACA,TUTA,266,8369,9
2018,4,PUTUMAYO,PUERTO CAICEDO,30,16095,17
2019,3,GUAINIA,BARRANCO MINAS,4,8042,8
2020,1,TOLIMA,FRESNO,393,31191,32
2019,2,ANTIOQUIA,MURINDO,96,5088,6
2018,4,NARI�O,EL TAMBO,165,14283,14
2019,2,CHOCO,RIO QUITO,574,8355,9
2019,2,SANTANDER,LEBRIJA,1352,43145,43
2019,4,VALLE DEL CAUCA,EL CAIRO,190,6637,7
2018,4,HUILA,SUAZA,105,21853,22
2018,3,CALDAS,PALESTINA,716,15555,16
2020,1,ANTIOQUIA,ITAGUI,71628,289994,291
2018,4,VICHADA,LA PRIMAVERA,34,10122,11
2018,3,NORTE DE SANTANDER,SALAZAR,14,10205,11
2018,3,BOYACA,SUTATENZA,39,4233,5
2018,3,CUNDINAMARCA,LA PE�A,77,5911,6
2019,2,SANTANDER,CARCASI,42,4263,5
2018,4,BOLIVAR,EL GUAMO,89,8647,9
2019,1,CALDAS,SAN JOSE,70,4875,5
2019,3,CALDAS,PACORA,524,15296,15
2018,4,ANTIOQUIA,TOLEDO,196,4993,6
2019,1,CUNDINAMARCA,COTA,7299,34948,35
2019,1,LA GUAJIRA,VILLANUEVA,1494,28816,29
2019,2,SANTANDER,SAN JOAQUIN,44,2215,2
2019,2,SUCRE,OVEJAS,635,23148,24
2019,3,VALLE DEL CAUCA,SEVILLA,3910,41503,42
2018,4,PUTUMAYO,SAN MIGUEL,33,18780,20
2018,4,TOLIMA,ORTEGA,309,34607,35
2020,1,CAUCA,SILVIA,26,38063,39
2018,3,SANTANDER,EL CARMEN DE CHUCURI,161,20916,21
2018,4,ANTIOQUIA,CALDAS,17222,79638,80
2018,4,CASANARE,SABANALARGA,147,3625,4
2019,2,BOLIVAR,EL PE�ON,78,7884,8
2019,1,VICHADA,CUMARIBO,107,76196,77
2019,2,CORDOBA,BUENAVISTA,107,21274,22
2019,2,ATLANTICO,SUAN,187,12282,13
2018,3,NARI�O,BUESACO,175,23908,24
2019,4,CESAR,SAN DIEGO,256,19818,21
2018,4,HUILA,AGRADO,69,8800,9
2020,1,CHOCO,EL CARMEN DE ATRATO,130,8212,8
2018,3,BOYACA,SOGAMOSO,21140,127235,128
2020,1,ATLANTICO,GALAPA,5660,67021,67
2019,4,HUILA,PITAL,363,13851,15
2019,2,CALDAS,NORCASIA,311,6075,6
2019,2,NARI�O,MOSQUERA,30,12283,13
2018,3,RISARALDA,MARSELLA,628,16940,17
2019,2,BOYACA,PAZ DE RIO,199,4228,5
2019,2,BOYACA,TOCA,192,8831,10
2018,4,BOYACA,RONDON,47,2407,3
2020,1,AMAZONAS,PUERTO NARI�O,15,10239,11
2019,1,CESAR,ASTREA,16,20617,22
2018,4,MAGDALENA,CONCORDIA,10,10505,11
2019,4,CUNDINAMARCA,CHIA,35750,141308,142
2018,3,BOYACA,CUBARA,8,10319,11
2019,4,ATLANTICO,LURUACO,636,29348,30
2019,3,TOLIMA,VENADILLO,700,12751,13
2019,3,NARI�O,EL TABLON DE GOMEZ,56,14296,15
2018,3,BOLIVAR,SAN ESTANISLAO,167,18251,18
2019,4,BOYACA,SUTATENZA,16,4224,5
2019,4,HUILA,SANTA MARIA,191,10422,11
2019,1,CHOCO,BAJO BAUDO,280,30263,31
2018,3,ANTIOQUIA,SAN PEDRO,2865,21949,22
2019,1,SANTANDER,SANTA HELENA DEL OPON,29,3393,4
2018,3,AMAZONAS,PUERTO NARI�O,9,9744,10
2018,3,CUNDINAMARCA,CABRERA,93,4722,5
2018,4,SANTANDER,LA PAZ,45,4953,6
2018,3,VALLE DEL CAUCA,LA CUMBRE,230,16316,17
2019,1,BOYACA,TENZA,109,3828,5
2018,4,CHOCO,SAN JOSE DEL PALMAR,53,5114,6
2019,4,BOLIVAR,PINILLOS,30,24433,25
2019,1,CUNDINAMARCA,SUESCA,314,17902,18
2019,2,ARAUCA,FORTUL,360,19659,20
2018,4,LA GUAJIRA,HATONUEVO,699,20044,21
2018,3,PUTUMAYO,SAN FRANCISCO,234,5645,6
2019,1,CAQUETA,FLORENCIA,19874,170764,172
2019,2,CUNDINAMARCA,GUAYABAL DE SIQUIMA,89,4587,5
2019,3,VALLE DEL CAUCA,ARGELIA,267,5258,5
2018,3,CAUCA,CALDONO,138,39946,41
2018,3,NORTE DE SANTANDER,EL TARRA,703,20093,20
2018,3,NARI�O,ROBERTO PAYAN,14,12667,13
2019,3,NARI�O,EL PE�OL,63,7443,8
2020,1,ANTIOQUIA,ABRIAQUI,96,2735,3
2019,4,BOYACA,RONDON,23,2384,3
2019,1,CHOCO,UNGUIA,448,12821,14
2019,3,ANTIOQUIA,PUERTO TRIUNFO,1997,18550,19
2019,2,CUNDINAMARCA,GRANADA,86,7566,8
2019,3,CESAR,EL COPEY,31,30957,31
2019,1,VALLE DEL CAUCA,LA VICTORIA,842,11981,13
2018,3,CAUCA,LOPEZ,26,18580,19
2019,1,CORDOBA,SAHAGUN,6586,109052,110
2019,4,NORTE DE SANTANDER,CUCUTILLA,89,8307,9
2018,3,BOLIVAR,MAGANGUE,7729,133270,133
2019,2,CESAR,ASTREA,18,20617,21
2019,3,BOYACA,GACHANTIVA,36,2779,3
2019,1,ATLANTICO,BARANOA,2765,64949,66
2018,2,AMAZONAS,LA VICTORIA,0,644,1
2018,3,MAGDALENA,ARIGUANI,43,30218,31
2018,3,SANTANDER,GUADALUPE,74,4511,5
2019,2,ANTIOQUIA,MUTATA,1111,14196,15
2018,3,ANTIOQUIA,EL SANTUARIO,2959,35422,36
2019,2,GUAINIA,MORICHAL,19,937,2
2019,4,CAUCA,MERCADERES,16,22901,23
2019,2,ANTIOQUIA,CISNEROS,1497,9844,10
2019,2,SANTANDER,GsEPSA,260,5222,6
2020,1,CASANARE,OROCUE,21,12652,13
2018,3,BOLIVAR,PINILLOS,106,24218,24
2018,3,BOYACA,NUEVO COLON,102,5121,5
2019,4,SANTANDER,EL GUACAMAYO,21,2119,3
2019,3,BOYACA,MONGUI,211,4266,4
2019,3,NARI�O,MALLAMA,60,8960,10
2018,4,BOYACA,MIRAFLORES,628,8847,9
2019,3,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,12,20171,21
2018,3,TOLIMA,NATAGAIMA,659,14835,15
2019,1,CORDOBA,TUCH�N,220,53744,55
2018,4,BOYACA,TOTA,63,5179,5
2019,3,BOYACA,TURMEQUE,189,6131,6
2018,3,NORTE DE SANTANDER,PAMPLONITA,35,5402,5
2019,4,NARI�O,TUQUERRES,1007,44650,45
2019,4,CHOCO,CARMEN DEL DARIEN,22,18930,20
2019,2,CUNDINAMARCA,NIMAIMA,53,3665,4
2018,4,BOYACA,TUNJA,41307,172548,173
2019,3,CALDAS,ARANZAZU,322,10533,11
2020,1,BOYACA,PAJARITO,50,2414,3
2019,2,ANTIOQUIA,CARACOLI,291,4537,5
2019,4,CAUCA,PURACE,21,17423,18
2019,1,CASANARE,NUNCHIA,110,8738,9
2019,2,ANTIOQUIA,TAMESIS,1206,16193,17
2019,1,ANTIOQUIA,SAN JUAN DE URABA,560,20549,21
2018,3,SANTANDER,GAMBITA,46,4021,4
2019,3,CUNDINAMARCA,NOCAIMA,165,6317,7
2019,3,SANTANDER,FLORIDABLANCA,66212,300730,302
2018,3,BOYACA,PAZ DE RIO,177,4285,5
2019,1,VALLE DEL CAUCA,EL AGUILA,242,8696,9
2018,4,SUCRE,COLOSO,16,8623,9
2019,2,CUNDINAMARCA,PAIME,46,4206,5
2018,4,CUNDINAMARCA,FACATATIVA,18016,139441,140
2019,4,ANTIOQUIA,SANTA BARBARA,1868,26944,27
2019,4,ANTIOQUIA,SANTA ROSA DE OSOS,4260,37143,38
2020,1,BOYACA,ALMEIDA,13,1807,2
2019,4,META,PUERTO LLERAS,34,10359,11
2018,3,MAGDALENA,EL PI�ON,25,22530,23
2020,1,ANTIOQUIA,SAN JOSE DE LA MONTA�A,423,3765,4
2018,4,CAUCA,TORIBIO,21,35218,35
2018,4,CASANARE,TAURAMENA,1331,23527,24
2020,1,QUINDIO,CALARCA,9946,74890,75
2020,1,CAUCA,PUERTO TEJADA,3508,41793,42
2020,1,BOLIVAR,ZAMBRANO,157,12322,13
2019,2,BOYACA,SOTAQUIRA,209,8237,9
2020,1,CAUCA,PADILLA,32,9992,10
2018,4,CHOCO,EL CARMEN DE ATRATO,23,8193,9
2020,1,NORTE DE SANTANDER,EL CARMEN,38,14043,15
2020,1,BOYACA,TOTA,23,5233,6
2019,1,ANTIOQUIA,SAN JOSE DE LA MONTA�A,382,3706,4
2019,4,SUCRE,LA UNION,15,12701,13
2019,3,BOYACA,CUCAITA,68,3759,4
2019,1,CUNDINAMARCA,ARBELAEZ,328,10825,11
2019,1,BOYACA,BOAVITA,153,4888,6
2019,2,VALLE DEL CAUCA,FLORIDA,4355,57696,58
2019,1,BOLIVAR,RIO VIEJO,244,10638,11
2019,2,ANTIOQUIA,COPACABANA,18381,80000,80
2019,2,NARI�O,OSPINA,148,7039,7
2019,2,CUNDINAMARCA,GUACHETA,587,13749,15
2018,4,ANTIOQUIA,GUATAPE,1148,8363,9
2019,2,ANTIOQUIA,AMALFI,1989,26552,27
2019,1,BOYACA,NOBSA,1181,16238,16
2018,4,NORTE DE SANTANDER,HACARI,26,9998,10
2018,3,PUTUMAYO,ORITO,1397,37745,38
2019,1,GUAINIA,SAN FELIPE,4,1706,2
2019,2,ANTIOQUIA,LA CEJA,13025,66746,67
2019,2,MAGDALENA,REMOLINO,9,11702,12
2019,3,ATLANTICO,TUBARA,37,18190,19
2018,4,CAQUETA,VALPARAISO,32,6887,7
2019,4,CESAR,PUEBLO BELLO,15,28298,28
2019,2,TOLIMA,HERVEO,281,7266,7
2018,4,ANTIOQUIA,REMEDIOS,1819,28415,29
2019,2,BOLIVAR,MONTECRISTO,29,17017,17
2019,3,META,RESTREPO,1302,18474,19
2018,3,BOYACA,SAN MATEO,116,3332,4
2019,3,MAGDALENA,PIJI�O DEL CARMEN,6,12548,14
2018,3,BOYACA,ALMEIDA,35,1910,2
2019,2,ATLANTICO,SANTO TOMAS,1816,31027,32
2020,1,CHOCO,CARMEN DEL DARIEN,32,19509,20
2019,4,TOLIMA,FALAN,74,7494,8
2018,4,ANTIOQUIA,HELICONIA,213,5451,6
2019,3,PUTUMAYO,SAN FRANCISCO,236,5585,6
2018,3,BOYACA,CHINAVITA,110,3209,4
2019,3,BOLIVAR,TURBACO,9918,109813,110
2019,3,VALLE DEL CAUCA,BUENAVENTURA,26835,310194,311
2018,3,SUCRE,CAIMITO,13,15231,15
2019,2,META,EL DORADO,100,3932,5
2019,4,CHOCO,ISTMINA,2460,30739,31
2020,1,HUILA,COLOMBIA,28,7064,8
2018,2,VAUPES,YAVARATE,0,1048,2
2018,3,CUNDINAMARCA,COGUA,695,22067,22
2018,3,ANTIOQUIA,CHIGORODO,5772,57375,58
2019,4,CHOCO,EL LITORAL DEL SAN JUAN,57,22242,23
2019,2,BOLIVAR,CALAMAR,643,22794,23
2019,4,TOLIMA,RIOBLANCO,49,22660,23
2020,1,CHOCO,TADO,431,17913,19
2018,4,SUCRE,SAN MARCOS,1130,57672,58
2020,1,BOYACA,CORRALES,31,2545,3
2020,1,ANTIOQUIA,SAN FRANCISCO,220,5889,7
2018,4,PUTUMAYO,SANTIAGO,154,7290,7
2018,3,TOLIMA,COYAIMA,525,22813,24
2018,3,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,90,11870,12
2020,1,BOLIVAR,PINILLOS,35,24706,25
2020,1,ANTIOQUIA,SOPETRAN,1407,15512,16
2019,3,BOYACA,CHIVOR,34,2504,3
2018,4,CHOCO,CERTEGUI,9,5635,7
2019,4,BOYACA,OICATA,70,2858,3
2018,4,RISARALDA,APIA,205,12406,13
2018,3,ARAUCA,PUERTO RONDON,8,4399,4
2019,3,CUNDINAMARCA,FOSCA,151,5892,7
2019,1,CUNDINAMARCA,GUAYABAL DE SIQUIMA,84,4587,5
2019,2,HUILA,TARQUI,122,17587,18
2018,4,ANTIOQUIA,ANGELOPOLIS,235,5756,6
2020,1,CHOCO,MEDIO SAN JUAN,29,10826,12
2019,3,CAUCA,LA SIERRA,13,10674,11
2018,3,CUNDINAMARCA,SUTATAUSA,75,5887,7
2019,3,NORTE DE SANTANDER,PAMPLONA,5979,52240,53
2020,1,CAUCA,PIENDAMO,1167,41837,42
2019,1,BOYACA,JERICO,40,3900,5
2019,3,NORTE DE SANTANDER,TOLEDO,120,15937,16
2018,3,TOLIMA,MARIQUITA,2582,37770,39
2019,3,TOLIMA,PURIFICACION,1443,23527,24
2019,4,NORTE DE SANTANDER,PAMPLONA,6422,52240,53
2019,2,NARI�O,LA LLANADA,21,6481,7
2018,4,SANTANDER,GUAVATA,37,4230,5
2019,2,BOYACA,VENTAQUEMADA,239,15920,17
2019,1,MAGDALENA,EL BANCO,1322,67811,69
2020,1,NARI�O,ARBOLEDA,12,8420,8
2019,3,VALLE DEL CAUCA,EL DOVIO,225,8711,9
2020,1,CUNDINAMARCA,VENECIA,18,4449,5
2019,3,BOGOTA,"BOGOTA, D.C.",1915220,7592871,7594
2019,3,LA GUAJIRA,BARRANCAS,874,37170,38
2020,1,HUILA,SUAZA,316,22729,24
2019,3,BOLIVAR,SANTA ROSA,769,21766,22
2019,3,CHOCO,RIOSUCIO,124,54458,55
2019,4,CAQUETA,PUERTO RICO,684,26329,27
2019,3,HUILA,SUAZA,298,22342,23
2020,1,NARI�O,ALDANA,17,7361,8
2018,3,CHOCO,ACANDI,401,13999,14
2019,1,MAGDALENA,ALGARROBO,356,16194,17
2019,1,HUILA,SUAZA,202,22342,23
2019,4,SANTANDER,PIEDECUESTA,31983,177586,178
2019,3,VALLE DEL CAUCA,SAN PEDRO,1050,17082,18
2019,4,CALDAS,MARMATO,70,9035,10
2019,4,NARI�O,EL TAMBO,27,13986,14
2018,4,RISARALDA,SANTA ROSA DE CABAL,10931,77838,78
2018,4,NORTE DE SANTANDER,RAGONVALIA,14,5899,6
2019,3,NORTE DE SANTANDER,TIBU,1659,56510,57
2019,3,BOYACA,CUBARA,27,10563,11
2019,1,NARI�O,SAN PABLO,240,15034,16
2019,1,NORTE DE SANTANDER,TEORAMA,38,17040,18
2020,1,CUNDINAMARCA,VILLAGOMEZ,22,1826,2
2020,1,BOYACA,FLORESTA,23,3231,4
2018,3,NARI�O,PROVIDENCIA,56,5572,6
2019,1,NARI�O,SANDONA,417,20184,20
2018,3,CESAR,PAILITAS,29,18566,19
2018,4,SANTANDER,PINCHOTE,650,5162,6
2019,4,LA GUAJIRA,URIBIA,1632,177815,179
2019,1,TOLIMA,ICONONZO,354,11891,12
2018,4,ATLANTICO,CAMPO DE LA CRUZ,138,22879,24
2019,2,PUTUMAYO,SIBUNDOY,867,15217,16
2019,3,BOLIVAR,MOMPOS,1255,45498,46
2018,4,CUNDINAMARCA,NEMOCON,420,13171,14
2019,3,CUNDINAMARCA,VILLETA,2684,27986,29
2019,1,BOYACA,TOPAGA,96,3660,4
2018,3,SANTANDER,CEPITA,32,2015,2
2019,1,TOLIMA,SAN LUIS,350,13481,14
2019,3,BOLIVAR,HATILLO DE LOBA,102,12699,13
2018,3,CHOCO,LLORO,35,9786,10
2019,1,ANTIOQUIA,GUADALUPE,418,6607,7
2019,2,CESAR,CHIRIGUANA,342,28743,29
2019,3,SANTANDER,CONCEPCION,207,5738,6
2019,3,ANTIOQUIA,PUEBLORRICO,506,8681,9
2019,3,SANTANDER,CARCASI,38,4263,5
2019,4,QUINDIO,PIJAO,63,5146,5
2019,4,MAGDALENA,CERRO SAN ANTONIO,8,9885,11
2020,1,HUILA,GARZON,4910,74136,75
2019,3,LA GUAJIRA,RIOHACHA,20925,195747,196
2018,3,HUILA,AGRADO,41,8800,9
2020,1,MAGDALENA,SABANAS DE SAN ANGEL,12,16724,18
2018,3,HUILA,COLOMBIA,13,7285,8
2019,2,NARI�O,PUERRES,92,8450,9
2019,3,AMAZONAS,PUERTO ALEGRIA,7,759,1
2018,3,NORTE DE SANTANDER,CUCUTA,98786,711715,712
2019,2,TOLIMA,NATAGAIMA,678,14722,15
2019,4,CORDOBA,SAN JOSE DE URE,12,13584,14
2018,4,SANTANDER,PALMAR,34,1361,2
2019,3,CESAR,SAN MARTIN,463,27823,29
2019,4,CALDAS,PENSILVANIA,365,19781,21
2019,4,LA GUAJIRA,RIOHACHA,21472,195747,197
2018,4,VAUPES,MITU,53,29850,30
2020,1,SANTANDER,VILLANUEVA,256,7982,8
2019,4,AMAZONAS,MIRITI - PARANA,1,1860,3
2018,4,ANTIOQUIA,GOMEZ PLATA,787,9753,10
2019,4,CUNDINAMARCA,UNE,78,7144,7
2019,4,CUNDINAMARCA,CHIPAQUE,63,9748,10
2019,4,CESAR,BOSCONIA,3081,41825,43
2018,3,SANTANDER,GIRON,29053,160403,161
2020,1,SANTANDER,PUERTO WILCHES,1005,34206,34
2020,1,TOLIMA,PURIFICACION,1197,23538,24
2018,4,ANTIOQUIA,TARAZA,1396,26964,28
2019,4,VALLE DEL CAUCA,TULUA,36922,215978,217
2018,3,CUNDINAMARCA,TABIO,1838,21665,22
2019,1,CALDAS,RISARALDA,320,10640,11
2019,3,BOYACA,PAUNA,141,7198,7
2019,4,NARI�O,CONSACA,22,13761,14
2020,1,ANTIOQUIA,CIUDAD BOLIVAR,2337,26313,27
2019,2,SUCRE,LA UNION,23,12701,13
2019,4,ANTIOQUIA,LA UNION,2272,21963,23
2019,1,BOLIVAR,CORDOBA,154,16225,17
2020,1,ATLANTICO,CAMPO DE LA CRUZ,104,23567,24
2020,1,ANTIOQUIA,SAN LUIS,1020,13123,14
2019,2,NARI�O,POTOSI,83,10197,10
2019,2,SANTANDER,FLORIDABLANCA,65357,300730,302
2018,3,MAGDALENA,EL BANCO,1396,65457,66
2019,3,SUCRE,BUENAVISTA,10,10727,11
2019,1,CESAR,SAN MARTIN,69,27823,29
2019,2,NARI�O,LOS ANDES,18,9376,9
